,0
765,Түнде шошып оянған
766,Түн ұйқысын төрт бөліп
767,Түнде бесік таянған
768,Бет 3  Барлығы 3 бет
769,Аялы қолда талпытқан
770,Қаймақты сүттей қалқытқан
771,Суық болса жөргектеп
772,Қорғасын оқтай балқытқан
773,Айналасына ас қойып
774,Айдынды көлдей шалқытқан
775,Қолын қатты тигізбей
776,Кірлі көйлек кигізбей
777,Иісін жұпар аңқытқан
778,Сондай сорлы анаға
779,Қыз қышқырса керек   ті
780,Азған елдің адамына
781,Айтсаң тіліңді алмаған
782,Кетсе шарлап жия алмағай
783,Бір Тәңірдей ұялмағай
784,«Бүгін тоба қылайын
785,Қашан тоба қылғанымша
786,Үзіп   жұлқып алайын»   деп
787,Өлшеп берген өмірін
788,Зия қылса керек   ті
789,Өнер   білім бар жұрттар
790,Бет 1  Барлығы 2 бет
791,Өнер   білім бар жұрттар
792,Тастан салай салғызды;
793,Айшылық алыс жерлерден
794,Көзіңді ашып   жұмғанша
795,Жылдам хабар алғызды
796,Аты жоқ құр арбаны
797,Мың шақырым жерлерге
798,Күн жарымда барғызды
799,Адамды құстай ұшырды;
800,Мал істейтін жұмысты
801,От пен суға түсірді;
802,Отынсыз тамақ пісірді
803,Сусыздан сусын ішірді
804,Теңізде жүзді балықтай
805,Дүниені кезді жалықпай
806,Білгендерге осылар
807,Бәрі   дағы анықтай
808,Білмегенде танықтай;
809,Бет 2  Барлығы 2 бет
810,Біз де бекер жатпалық
811,Осыларға таныспай;
812,Ат өнері білінбес
813,Бәйгеге түсіп жарыспай;
814,Желкілдеп шыққан көк шөптей
815,Жаңа өспірім достарым
816,Қатарың кетті ау алысқа ай
817,Ұмтылыңыз қалыспай
818,Біз надан боп өсірдік
819,Иектегі сақалды
820,Өнер – жігіт көркі деп
821,Ескермедік мақалды
822,Біз болмасақ сіз барсыз
823,Үміт еткен достарым
824,Сіздерге бердім батамды
825,Балғожа бидің баласына жазған хаты
826,Үміт еткен көзімнің нұры балам
827,Жаныңа жәрдем берсін құдайтағалам;
828,Атаң мұнда анаңмен есен   аман
829,Сүйіп сәлем жазады бүгін саған
830,Атаңды сағындым деп асығарсың
831,Сабаққа көңіл бөлсең басыларсың;
832,Ата   анаң өнер білсең асырарсың
833,Надан боп білмей қалсаң аһ ұрарсың
834,Шырағым мұнда жүрсең нетер едің
835,Қолыңа құрық алып кетер едің
836,Тентіреп екі ауылдың арасында
837,Жүргенмен не мұратқа жетер едің
838,Бет 1 Барлығы 2 бет
839,Сөуірде көтерілер рахмет туы
840,Көрінер көк жүзінде қаз бен қуы
841,Көктен жаңбыр таулардан сулар жүріп
842,Жайылар жер жүзіне қардың суы
843,Үшпақтың бір сәулесі жерге түсіп
844,Өсірер жерден шөпті нүрдың буы
845,Жақындар Қүдайымның көктен күні
846,Тең болар жарлықпенен күн мен түні
847,Аспаннан рақымменен күн тонгенде
848,Қуанып қыбырлайды ыныс жыны
849,Үйқыдан козін ашқан жас балаша
850,Жайқалып шыға келер жердің гүлі
851,Шапақтан бүлты шығар мүнарланып
852,Жаңбырлы күндер түсер түманданып
853,Адамзат нәр ауасын судай жүтар
854,Шол тартқан айуандарша қүмарланып
855,Жетпеген үлкендікке жас балалар
856,Жүгірер ойдан қырға жүмарланып
857,Сөуірде алуан алуан жауар носер
858,Носердің қуатымен жер шобі осер
859,Бет 2  Барлығы 2 бет
860,Кокорай дүние жүзі шалғын болып
861,Жан айуан адамизат бауырын тосер
862,Жан жәндік рахат тауып түру үшін
863,Үшпақтан хош иісті желдер есер
864,Сәуірдің әрбір күні дертке дәрмен
865,Қүдайым дәрмен бол деп етер пәрмен
866,Бір малы шаруаның екеу болып
867,Қыстаудан ел шығады алуан алуан
868,Күлісіп қүшақтасып әзіл етер
869,Әйелдер кош жонелтіп кейін қалған
870,Жүгірер киік қүлан тау мен қырда
871,Қуанып ықыласпен келген жылға
872,Алыстан мүнарланған сағымдары
873,Шақырып түрар күліп кел деп мүнда
874,Қарға мен түлкі
875,Бет 1  Барлығы 2 бет
876,Ашылып түлкі жүрді жапандарда
877,Тамақ іздеп жол шекті сапарларға
878,Ешнәрсені көре алмай келе жатса
879,Көзіне түсті алыстан жалғыз қарға
880,Жүгіріп түлкі соған жетіп келді
881,Қарға ағаштың басында мұны көрді
882,Тістегені аузында тәтті ірімшік
883,Оны көріп түлкі   екең сөйлей берді
884,«Қарға батыр әр сөзің күміс алтын
885,Сырттан халқаң тілейді барша халқың
886,Қарға әніңдей әуез жоқ деп
887,Осылайшы шығады сыртқа даңқың
888,Сандуғаш бұлбылдарды көріп едім
889,Жүзіңді бір көруге келіп едім
890,Даусыңды бір шығаршы шаттанайын
891,Сырттан асық болғаннан өліп едім»
892,Бет 2  Барлығы 2 бет
893,Басын салып құйрығын бұлғаңдатып
894,Екі көзін қарғаға қылмаңдатып
895,«Қарға тақсыр көз жасым көріңіз»  деп
896,Жыламсырап сөйлейді жылмаңдатып
897,Масаттанып бұл қарға сілкінеді
898,Ішін тартып миықтан бір күледі
899,«Арып   ашып алыстан келген шығар
900,Көңілі тынып кетсінші шіркін»   деді
901,Мақтау сөзге семіріп судай тасып
902,Пәрменінше « қарқ » етті аузын ашып;
903,Қарқ еткенде ірімшік жерге түсіп
904,Оны кетті түлкі   екең алды қашып
905,Әй достарым
906,Әй достарым жігіттерім
907,Болмасқа болушы болма
908,Қолыңнан келсе қыл қайыр
909,Кісіден алушы болма
910,Жақсының жүзі жәндетті
911,Бір көруің қанібетті
912,Жаманның ісі міндетті
913,Зар берсе алушы болма
914,Жоғары қарап оқ атпа
915,Өзіңнің түсер қасыңа
916,Ақылсыз жанды досым деп
917,Басыңды қосып сыр айтпа
918,Күндердің күні болғанда
919,Ол жаман айғақ болар басыңа
920,Бар күшіңді сынаспай
921,Балуандармен күреспе
922,Таң боларсың әлемге
923,Сөз боларсың көлемге
924,Ақылсыз достан   ақылды дұшпан артық
925,Сырты майда іші қан
926,Ел ішінде жар   жора
927,Достарыңнан бір сақтанғанда мың сақтан
928,Кел балалар оқылық
929,Бет 1  Барлығы 4 бет
930,Бір құдайға сиынып
931,Кел балалар оқылық 
932,Оқығанды көңілге
933,Ықыласпен тоқылық
934,Істің болар қайыры
935,Бастасаңыз алдалап
936,Оқымаған жүреді
937,Қараңғыны қармалап
938,Кел балалар оқылық
939,Оқығанды көңілге
940,Ықыласпен тоқылық
941,Оқысаңыз  балалар
942,Шамнан шырақ жағылар
943,Тілегенің алдыңнан
944,Іздемей ақ табылар
945,Бет 2  Барлығы 4 бет
946,Кел балалар оқылық
947,Оқығанды көңілге
948,Ықыласпен тоқылық
949,Мал дәулеттің байлығы
950,Бір жұтасаң жоқ болар
951,Оқымыстың байлығы
952,Күннен  күнге көп болар
953,Еш жұтамақ жоқ болар
954,Кел балалар оқылық
955,Оқығанды көңілге
956,Ықыласпен тоқылық
957,Сиса көйлек үстіңде
958,Тоқуменен табылған
959,Сауысқанның тамағы
960,Шоқуменен табылған
961,Өнер  білім бәрі де
962,Оқуменен табылған
963,Кел балалар оқылық
964,Оқығанды көңілге
965,Ықыласпен тоқылық
966,Надандықтын белгісі  
967,Еш ақылға жарымас
968,Бет 3  Барлығы 4 бет
969,Жайылып жүрген айуандай
970,Ақ қараны танымас
971,Аяңшыл ат арымас
972,Білім деген қарымас
973,Жөн білмеген наданға
974,Қыдыр ата дарымас
975,Кел балалар оқылық
976,Оқығанды көңілге
977,Ықыласпен тоқылық
978,Оқу деген шыны   ды
979,Тұрған сайын шыныққан
980,Оқу білген адамдар
981,Май тамызған қылыштан
982,Білмегенді білуге
983,Есті бала тырысқан
984,Есер бала ұрысқан
985,Кел балалар оқылық
986,Оқығанды көңілге
987,Ықыласпен тоқылық
988,Әлпештеген ата   ана
989,Қартаятын күн болар
990,Қартайғанда жабығып
991,Мал таятын күн болар
992,Ата   енең картайса  
993,Тіреу болар бұл оқу
994,Қартайғанда мал тайса
995,Сүйеу болар бұл оқу
996,Кел балалар оқылық
997,Оқығанды көңілге
998,Ықыласпен тоқылық
999,Бет 4  Барлығы 4 бет
1000,Оқу білген таниды
1001,Бір жаратқан құдайды
1002,Танымаған құдайды
1003,Не ғылғанда ұнайды
1004,Шырағым абай болгай деп
1005,Ата   енең жылайды
1006,Баладан қайыр болмаса
1007,Баланы неге сұрайды
